id,name,artists,album,release_date,energy,danceability,popularity,keywords
7G7ulwd8y8UDjzSfiu3H6y,Jaise Mera Tu,"Sachin-Jigar, Arijit Singh, Priya Saraiya",Happy Ending (Original Motion Picture Soundtrack),10/21/14,0.702,0.486,53,"['jaise', 'mera', 'tu', 'song', 'àààà', 'àààà¾', 'àà', 'mp3', 'sachinjigar', 'download']"
69EoR3Z8jgRODL3AmQs5ZP,India Waale,"Neeti Mohan, Vishal Dadlani, KK, Shankar Mahadevan",Happy New Year,9/26/14,0.753,0.72,52,"['india', 'se', 'waale', 'song', 'ke', 'hum', 'hain', 'de', 'humko', 'chhuda']"
3H43T5swYywvcdCBFiDgW6,Manwa Laage,"Shreya Ghoshal, Arijit Singh",Happy New Year,9/26/14,0.671,0.676,61,"['laage', 'manwa', 'ka', 'jiya', 'song', 'main', 'àààµà¾', 'à²à¾àà', 'tera', 'naino']"
6UgcN95w7vQxkR8sEFmwHG,Chahun Main Ya Naa,"Palak Muchhal, Arijit Singh",Aashiqui 2,4/6/13,0.517,0.644,69,"['naa', 'main', 'ya', 'chahun', 'de', 'tu', 'mujhko', 'mein', 'song', 'dil']"
55eUtE9v3uatR0y0NijM6N,Hum Mar Jayenge,"Tulsi Kumar, Arijit Singh",Aashiqui 2,4/6/13,0.508,0.566,61,"['hum', 'mar', 'jayenge', 'song', 'à¹à', 'àà¾à', 'àà¾àààà', 'tere', 'ho', 'hai']"
3E9ryvrKP3hUWX79PAakH2,Meri Aashiqui,"Palak Muchhal, Arijit Singh",Aashiqui 2,4/6/13,0.424,0.382,62,"['meri', 'aashiqui', 'ho', 'tum', 'hi', 'bhi', 'song', 'mera', 'ab', 'mp3']"
1ELMyeJLDHUz3cK3XTWgEi,Piya Aaye Na,"Tulsi Kumar, KK",Aashiqui 2,4/6/13,0.587,0.501,67,"['na', 'piya', 'aaye', 'woh', 'song', 'àªààà¾', 'àà', 'àà¾', 'hai', 'khata']"
06zJUeKU5KFy50Cho6pDcr,Aasan Nahin Yahan,Arijit Singh,Aashiqui 2,4/6/13,0.437,0.548,66,"['aasan', 'nahin', 'yahan', 'song', 'ààà¾à', 'àà¹àà', 'àà¹à¾à', 'hai', 'mp3', 'ho']"
2kRzgmBlmhvFvCEgMHltWz,Sunn Raha Hai (Female Version),Shreya Ghoshal,Aashiqui 2,4/6/13,0.594,0.483,63,"['raha', 'hai', 'tu', 'sunn', 'song', 'ààà', 'àà¹à¾', 'à¹à', 'de', 'kar']"
2iGnFW7m517taq3AJIE6DK,Milne Hai Mujhse Aayi,Arijit Singh,Aashiqui 2,4/6/13,0.707,0.517,67,"['hai', 'milne', 'mujhse', 'aayi', 'aashiqui', 'song', 'ààà²àà', 'à¹à', 'ààààà', 'àà']"
